Company;Weight in the CAC40;Sustainability risk;Exposure risk;Score management;Carbon risk;Carbon intensity (Tons of CO2)
ACCOR;0,00439868;16,1;43,6;69,2;8,4;650,16
AIRBUS;0,051884435;24,1;63,7;69,2;15;9,8
AIRLIQUIDE;0,040387884;13,2;36,1;69,9;19,3;1235,98
ARCELORMITTAL;0,009197241;35,4;64;49,4;21,8;1706,33
AXA;0,033090073;14,3;48,6;74,7;3;0,69
BNPPARIBAS;0,033589923;21;54;65,7;8,7;1,2
BOUYGUES;0,00519844;32,7;62,7;52,8;10,6;39,57
BUREAUVERITAS;0,00509847;10,6;36,6;74,9;0;25,34
CAPGEMINI;0,010096971;7,6;36,2;85,1;0,2;3,6
CARREFOUR;0,00329901;20,1;49,1;64;3,1;13,2
CREDITAGRICOLESA;0,019494152;20,5;52,5;65,3;3,1;0,59
DANONE;0,017994602;18;57,1;74,2;4,4;34,97
DASSAULTSYSTEMES;0,019994002;13,2;36,5;68,7;1,7;3,98
EDENRED;0,00319904;15,2;31,9;56,1;0;3,05
ENGIE;0,015795261;30;78,8;66,9;13,9;281,51
ESSILORLUXOTTICA;0,048185544;16,9;30,7;47,6;0;34,7
EUROFINSSCIENTIFIC;0,00369889;15,2;32,5;56,1;0;29,03
HERMESINTL;0,102769169;12,6;31,1;64,5;0;3,28
KERING;0,011896431;12,4;31,7;66,3;0;5,56
LEGRAND;0,010796761;15;42,5;68,7;10,3;13,87
LOREAL;0,074577627;19,6;43,8;62,1;1,7;2,12
LVMH;0,123063081;13,9;28,1;54,4;0;3,28
MICHELIN;0,009597121;11,4;33,2;70,2;1,3;75,32
ORANGE;0,012096371;21,6;45,5;59;9,2;32,47
PERNODRICARD;0,009997001;17,2;45,3;71,1;3;26,27
PUBLICISGROUPE;0,009197241;9,7;28,3;69,1;0;2,47
RENAULT;0,00539838;23,7;53,9;59;22,1;10,34
SAFRAN;0,040487854;28,8;60,3;58,1;24,7;17,08
SAINTGOBAIN;0,020393882;18,9;47;63,9;11,7;170,15
SANOFI;0,053383985;18,7;47;64,5;0,2;13,58
SCHNEIDERELECTRIC;0,048785364;10;44,1;82;1,2;12,86
SOCIETEGENERALE;0,012996101;18,9;51,7;67,8;7;1,01
STELLANTIS;0,012996101;21,6;46,8;56,6;22;16,61
STMICROELECTRONICS;0,008297511;12,6;45,6;78,3;2,1;45,76
TELEPERFORMANCE;0,00239928;13,3;28;54,7;3,2;14,42
THALES;0,018894332;27,3;58,3;58,6;23,4;9,43
TOTALENERGIES;0,048985304;29,9;72,4;69;34,1;155,29
UNIBAILRODAMCOWESTFIELD;0,00419874;4,1;28,5;87,1;2,4;35,62
VEOLIA;0,008697391;25,5;75,7;71,7;17,9;684,68
VINCI;0,025492352;26,2;60,9;62;9,8;32,28
